simID,repeatID,weather_path,c.clone_ID,c.clone_of_cultivar,c.clone_size,c.clone_location_x,c.clone_location_y,c.clone_avg_beevisits_stem,c.clone_fruitset_mean,c.clone_fruitset_std,c.clone_fruitsetII_mean,c.clone_fruitsetII_std,c.clone_fruitmass_mean,c.clone_seeds_mean,c.clone_seeds_std,c.clone_healthy_berries,c.clone_malformed_berries,c.clone_percent_malformed_berries,c.clone_pollen_accepted,c.clone_pollen_received
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone164,1,0.03121445152258042,5.9,7.1000000000000005,6.333333333333333,0.9166666666666666,0.15713484026367724,0.8888888888888888,0.15713484026367724,9.354166666666666,124.44444444444444,130.05044130625092,11,8,0.7272727272727273,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone165,2,0.03121445152258042,5.9,7.300000000000001,2.6666666666666665,0.8333333333333334,0.31426968052735443,0.7777777777777778,0.31426968052735443,2.2333333333333334,30.722222222222225,20.032535264808658,10,10,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone166,1,0.03121445152258042,5.9,7.7,7.0,1.0,0.0,1.0,0.0,6.962500000000001,119.83333333333333,65.34056082471966,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone167,2,0.03121445152258042,5.9,7.899999999999998,1.6666666666666667,0.5,0.408248290463863,0.5,0.408248290463863,1.675,31.333333333333332,25.448568321806036,6,6,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone168,1,0.03121445152258042,6.100000000000001,1.1,5.0,1.0,0.0,1.0,0.0,8.245833333333334,122.3888888888889,67.2480666572341,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone169,2,0.03121445152258042,6.100000000000001,1.2999999999999998,5.333333333333333,1.0,0.0,1.0,0.0,5.654166666666666,94.0,7.154382236446777,12,12,1.0,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone170,1,0.03121445152258042,6.100000000000001,1.7000000000000002,12.333333333333334,1.0,0.0,1.0,0.0,7.1125,145.2222222222222,80.16202727778253,12,10,0.8333333333333334,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone171,2,0.03121445152258042,6.100000000000001,1.9000000000000001,13.666666666666666,1.0,0.0,1.0,0.0,12.329166666666666,217.0,51.872350445499784,12,9,0.75,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone172,1,0.03121445152258042,6.100000000000001,2.2999999999999994,13.0,1.0,0.0,1.0,0.0,9.950000000000001,187.83333333333334,43.42490324942845,12,9,0.75,0.0,0.0
10,1,../includes/Weather-Strawberry-Greenhouse.csv,StrawberryClone173,2,0.03121445152258042,6.100000000000001,2.5000000000000004,4.0,1.0,0.0,1.0,0.0,5.516666666666667,80.83333333333333,30.43298648944376,12,12,1.0,0.0,0.0
