simID,repeatID,planting_pattern,f.Flower_ID,f.Flower_of_cultivar,f.Flower_in_clone_ID,f.Flower_in_inflorescence_ID,f.Flower_bloom_day,f.Flower_ripeness_day,f.Flower_fruit_mass,f.Flower_beery_malformed,f.Flower_bee_visit,f.Flower_bee_visit_day1,f.Flower_bee_visit_day2,f.Flower_bee_visit_day3,f.Flower_bee_visit_day4,f.Flower_bee_visit_day5,f.Flower_bee_visit_success,f.Flower_nb_pollen_selfcultivar,f.Flower_nb_pollen_othercultivar,f.Flower_nb_accepted_pollen
1,5,1,57,1,4,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,58,1,4,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,59,1,4,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,60,1,5,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,61,1,5,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,62,1,5,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,63,1,5,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,64,1,5,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,65,1,5,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,66,1,5,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,67,1,5,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,68,1,5,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,69,1,5,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,70,1,5,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,71,1,5,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,72,1,6,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,73,1,6,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,74,1,6,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,75,1,6,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,76,1,6,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,77,1,6,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,78,1,6,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,79,1,6,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,80,1,6,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,81,1,6,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,82,1,6,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,83,1,6,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,84,1,7,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,85,1,7,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,86,1,7,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,87,1,7,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,88,1,7,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,89,1,7,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,90,1,7,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,91,1,7,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
